SAS date,Demand,Wind,Subhour,Day
7/14/2009,3435,81,65,195
7/14/2009,3456,65,66,195
7/14/2009,3473,59,67,195
7/14/2009,3488,62,68,195
7/14/2009,3504,74,69,195
7/14/2009,3524,55,70,195
7/14/2009,3554,46,71,195
7/14/2009,3552,46,72,195
7/14/2009,3540,48,73,195
7/14/2009,3483,55,74,195
7/14/2009,3443,57,75,195
7/14/2009,3399,59,76,195
7/14/2009,3342,41,77,195
7/14/2009,3299,30,78,195
7/14/2009,3222,28,79,195
7/14/2009,3151,37,80,195
7/14/2009,3099,38,81,195
7/14/2009,3069,37,82,195
7/14/2009,3012,38,83,195
7/14/2009,2995,30,84,195
7/14/2009,2974,31,85,195
7/14/2009,2964,32,86,195
7/14/2009,2943,34,87,195
7/14/2009,2947,31,88,195
7/14/2009,2976,33,89,195
7/14/2009,3009,31,90,195
7/14/2009,2998,30,91,195
7/14/2009,2942,27,92,195
7/14/2009,2876,26,93,195
7/14/2009,2811,30,94,195
7/14/2009,2698,31,95,195
7/14/2009,2617,23,96,195
7/15/2009,2523,24,1,196
7/15/2009,2447,28,2,196
7/15/2009,2388,31,3,196
7/15/2009,2312,35,4,196
7/15/2009,2255,35,5,196
7/15/2009,2208,38,6,196
7/15/2009,2174,44,7,196
7/15/2009,2129,48,8,196
7/15/2009,2089,49,9,196
7/15/2009,2064,49,10,196
7/15/2009,2039,49,11,196
7/15/2009,2018,53,12,196
7/15/2009,2001,56,13,196
7/15/2009,1991,59,14,196
7/15/2009,1978,68,15,196
7/15/2009,1977,64,16,196
7/15/2009,1984,62,17,196
7/15/2009,1992,60,18,196
7/15/2009,1993,64,19,196
7/15/2009,2000,79,20,196
7/15/2009,1992,74,21,196
7/15/2009,1963,74,22,196
7/15/2009,1936,76,23,196
7/15/2009,1942,75,24,196
7/15/2009,1983,81,25,196
7/15/2009,2051,73,26,196
7/15/2009,2112,81,27,196
7/15/2009,2181,61,28,196
7/15/2009,2297,50,29,196
7/15/2009,2466,56,30,196
7/15/2009,2561,51,31,196
7/15/2009,2707,44,32,196
7/15/2009,2813,43,33,196
7/15/2009,2990,48,34,196
7/15/2009,3097,45,35,196
7/15/2009,3185,54,36,196
7/15/2009,3265,52,37,196
7/15/2009,3339,64,38,196
7/15/2009,3377,61,39,196
7/15/2009,3402,60,40,196
7/15/2009,3410,65,41,196
7/15/2009,3417,55,42,196
7/15/2009,3428,59,43,196
7/15/2009,3441,59,44,196
7/15/2009,3453,73,45,196
7/15/2009,3466,81,46,196
7/15/2009,3476,87,47,196
7/15/2009,3487,103,48,196
7/15/2009,3486,99,49,196
7/15/2009,3508,102,50,196
7/15/2009,3518,104,51,196
7/15/2009,3533,114,52,196
7/15/2009,3522,122,53,196
7/15/2009,3482,117,54,196
7/15/2009,3431,133,55,196
7/15/2009,3425,156,56,196
7/15/2009,3413,159,57,196
7/15/2009,3443,179,58,196
7/15/2009,3418,171,59,196
7/15/2009,3409,168,60,196
7/15/2009,3413,179,61,196
7/15/2009,3400,189,62,196
7/15/2009,3397,202,63,196
7/15/2009,3398,202,64,196
7/15/2009,3394,190,65,196
7/15/2009,3405,190,66,196
7/15/2009,3423,194,67,196
7/15/2009,3430,177,68,196
7/15/2009,3449,167,69,196
7/15/2009,3463,161,70,196
7/15/2009,3479,148,71,196
7/15/2009,3482,160,72,196
7/15/2009,3451,161,73,196
7/15/2009,3389,155,74,196
7/15/2009,3361,150,75,196
7/15/2009,3323,153,76,196
7/15/2009,3268,143,77,196
7/15/2009,3216,125,78,196
7/15/2009,3183,117,79,196
7/15/2009,3112,109,80,196
7/15/2009,3056,98,81,196
7/15/2009,3025,100,82,196
7/15/2009,2984,99,83,196
7/15/2009,2962,79,84,196
7/15/2009,2947,73,85,196
7/15/2009,2902,59,86,196
7/15/2009,2899,64,87,196
7/15/2009,2894,56,88,196
7/15/2009,2946,62,89,196
7/15/2009,2982,61,90,196
7/15/2009,2991,69,91,196
7/15/2009,2937,56,92,196
7/15/2009,2884,49,93,196
7/15/2009,2804,44,94,196
7/15/2009,2720,43,95,196
7/15/2009,2618,34,96,196
